"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2","section"
"Male","Male",70,140,10,"Freshman",6,3.7,27,6,3,70,0,7,8,45,47,5,"none",100,"Back to the Future","Stranger Things","The Office","Stat100_L1"
"Female","Female",62,125,8.5,"Junior",3.5,2.7,29,0,2,100,40,8,20,40,43,4,"one",25,"Jurassic Park 3","Power","Family Guy","Stat100_L1"
"Female","Female",64,150,8,"Freshman",3,3.7,29,0,2,70,10,8,10,50,52,5,"dozens",99,"Unusual Suspects","Gossip Girl","Big Little Lies","Stat100_L1"
"Male","Male",72,155,10,"Junior",0.5,3.3,19,0,1,102,17,6.5,22,49,51,7,"hundreds",46,"South Paw","Chicago Fire","Chicago PD","Stat100_L1"
"Female","Female",61,117,6.5,"Sophomore",3.5,2.3,27,2,1,0,46,7.5,8,48,52,8,"few",10,"Mr. Nobody","none","none","Stat100_L1"
"Female","Female",65,156,9,"Junior",4,2.8,18,7,2,100,120,5.5,10,43,48,4,"one",25,"A Walk to Remember","Family Guy","Spongebob Squarepants","Stat100_L1"
"Female","Female",64,110,6,"Freshman",2.5,4,32,2,1,70,100,6,8,49,47,8,"few",90,"shawshank redemption","criminal minds","how to get away with murders","Stat100_L1"
"Female","Female",65,168,8,"Junior",3,3,18,4,2,100,50,7.5,10,56,61,10,"one",60,"Planet of the Apes","Gilmore Girls","Greys Anatomy","Stat100_L1"
"Female","Female",67,127,7.5,"Freshman",9,4,29,1,2,96,15,5.5,11,55,51,7,"few",100,"The Bee Movie","Greys Anatomy","Rick and Morty","Stat100_L1"
"Female","Female",66,140,7,"Sophomore",2,2.5,22,0,2,100,5,7,20,51,53,6,"few",15,"mean girls","shameless","riverdale","Stat100_L1"
"Male","Male",68,170,10,"Sophomore",3,3.4,28,1,1,110,0,8,4,56,60,7,"few",75,"Alien","Shameless","Walking Dead","Stat100_L1"
"Female","Female",66,125,9,"Sophomore",1.5,3,20,3,5,90,700,6,15,42,40,9,"few",51,"November Rule","Bobs Burgers","Lost","Stat100_L1"
"Female","Female",67,124,7,"Freshman",1.5,3.5,27,3,2,0,0,6,10,52,50,4,"few",90,"French Kiss","Rick and Morty","New Girl","Stat100_L1"
"Female","Female",66,123,9,"Freshman",5,4,27,0,1,90,13,7,25,47,54,9,"few",50,"The Pursuit of Happiness","Games of Thrones","TheOffice","Stat100_L1"
"Male","Male",67,135,8,"Senior",7,3.2,26,1,2,90,0,4,4,50,50,9,"millions",0,"""""A journey to the west""""","none","none","Stat100_L1"
"Female","Female",69,155,9.5,"Freshman",2.5,4,31,0,2,90,6,7,20,58,65,3,"few",60,"superbad","Friends","Shameless","Stat100_L1"
"Female","Female",61,115,6.5,"Freshman",2,4,27,4,0,110,120,8,5,41,46,3,"dozens",100,"But I'm a Cheerleader","Grey's Anatomy","The Fosters","Stat100_L1"
"Female","Female",71,135,9.5,"Freshman",1.5,3.9,27,2,1,90,75,6.5,35,45,51,3,"one",100,"The Proposal","Gossip Girl","Pretty Little Liars","Stat100_L1"
"Female","Female",62,110,6.5,"Freshman",1.5,3.3,25,2,1,95,20,7.5,15,49,49,5,"few",50,"none","Pretty Little Liars","The 100","Stat100_L1"
"Male","Male",70,156,10.5,"Freshman",3.5,4,29,1,4,95,140,6,5,51,51,9,"thousands",35,"Life is Beautiful","Game of Thrones","NCIS LA","Stat100_L1"
"Male","Male",77,240,13,"Junior",3.5,3,29,10,1,120,300,7,5,59,63,7,"thousands",100,"The Usual Suspects","Scrubs","Breaking Bad","Stat100_L1"
"Female","Female",62,135,7.5,"Freshman",4,3.6,26,9,1,80,25,7,10,40,41,7,"one",30,"Spirited Away","Walking dead","Teen Wolf","Stat100_L1"
"Female","Female",62,166,7.5,"Sophomore",2.5,3.4,31,0,0,91,70,8,5,49,50,7,"hundreds",5,"Dangal","Person of Interests","Star Trek","Stat100_L1"
"Female","Female",62,100,7,"Sophomore",5,3.2,27,0,3,70,65,8.5,25,50,53,7,"few",80,"None","Grey's Anatomy","The Fosters","Stat100_L1"
"Male","Male",70,154,10.5,"Sophomore",3.5,3,32,1,0,90,0,10,8,52,55,6,"one",1,"Avatar","Game of Thrones","Rick and Morty","Stat100_L1"
