"gender","genderID","height","weight","shoeSize","schoolYear","studyHr","GPA","ACT","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity","movie","favTV1","favTV2","section"
"Female","Female",62,135,7.5,"Freshman",2,4,31,2,2,102,27,6.5,18,58,58,7,"few",83,"The Best of Me","Gossip Girl","The Vampire Diaries","Stat100_L1"
"Female","Female",60,96,6.5,"Freshman",3.5,3.6,23,3,1,80,120,7.5,20,45,44,3,"few",50,"Elf","Greys Anatomy","Castle","Stat100_L1"
"Female","Female",62,127,6,"Freshman",2,4,26,2,3,85,4,6.5,8,52,51,6,"dozens",94,"Harry Potter","Gossip Girl","Riverdale","Stat100_L1"
"Male","Male",77,218,14,"Sophomore",7.5,4,30,10,3,115,200,8.5,8,55,55,7,"few",75,"American Sniper","Black Mirror","Prison Break","Stat100_L1"
"Female","Female",65,105,7.5,"Freshman",5,3.5,26,0,2,50,20,8,15,40,41,8,"one",50,"Edge of 17","Bob's Burgers","The Office","Stat100_L1"
"Female","Female",67,141,8.5,"Sophomore",4,4,32,3,2,85,100,7,15,54,58,6,"few",100,"The Longest Ride","Leverage","NCIS LA","Stat100_L1"
"Female","Female",67,190,7.5,"Sophomore",1.5,2.9,28,3,5,95,0,7.5,9,52,41,5,"few",25,"Arrival","Always Sunny in Philadelphia","Easy","Stat100_L1"
"Male","Male",70,151,11,"Freshman",1,3.5,32,3,1,72,57,6.5,7,50,50,5,"none",69,"Star Wars Ep 4","Spongebob","Phineas and Ferb","Stat100_L1"
"Female","Female",64,120,7,"Freshman",3.5,3.5,26,3,3,110,25,8,25,54,56,3,"few",75,"The Titanic","Big Little Lies","Handmaids Tale","Stat100_L1"
"Female","Female",67,160,8,"Freshman",0.5,3.2,27,1,2,30,20,5,10,42,46,4,"few",100,"ever after","gilmore girls","the office","Stat100_L1"
"Male","Male",68,155,8,"Sophomore",2,3.9,33,0,1,90,0,8,6,46,50,10,"hundreds",1,"Get Out","Big Bang Theory","Modern Family","Stat100_L1"
"Female","Female",62,113,5.5,"Freshman",2,3.7,31,1,1,40,30,9,24,46,48,5,"dozens",50,"Girl_ Interuppted","The Vampire Diaries","Pretty Little Liars","Stat100_L1"
"Female","Female",63,116,7,"Senior",5,3.7,29,2,2,78,2,6,22,51,52,8,"one",75,"Sense and Sensibility","Homeland","The Office","Stat100_L1"
"Female","Female",60,114,6,"Sophomore",3,2.9,25,5,1,100,5,8.5,25,44,51,6,"hundreds",80,"Titanic","Stranger Things","Orange Is The New Black","Stat100_L1"
"Female","Female",62,160,7,"Freshman",3,3.8,25,3,2,60,51,7,30,57,60,7,"few",100,"What's Eating Gilbert Grape","Spongebob Squarepants","Just Between Lovers","Stat100_L1"
"Male","Male",70,185,11.5,"Sophomore",5,2.1,26,4,2,110,1000,8.5,25,36,38,7,"few",10,"Step Brothers","The office","Narcos","Stat100_L1"
"Female","Female",68,156,7.5,"Sophomore",2.5,3.4,31,3,3,120,11,7.5,15,65,65,9,"few",60,"Donnie Darko","Law and Order SVU","South Park","Stat100_L1"
"Male","Male",71,160,11.5,"Freshman",3,2.9,29,2,3,135,0,8,5,53,55,3,"thousands",20,"The other guys","Prison break","Breaking bad","Stat100_L1"
"Male","Male",72,150,11,"Freshman",2,3.3,25,7,2,120,15,7,8,48,40,8,"one",95,"fear and loathing in las vegas","shameless","Weeds","Stat100_L1"
"Female","Female",69,155,11,"Freshman",2,3.6,31,2,2,0,22,6.5,6,49,51,6,"few",50,"none","Its Always Sunny in Philadelphia","Shameless","Stat100_L1"
"Female","Female",68,265,10,"Junior",3,3.6,26,1,1,55,0,6,15,42,41,7,"few",50,"Transformers","Law and Order: SVU","Scream Series","Stat100_L1"
"Female","Female",63,116,7.5,"Graduate",3,3.3,33,0,1,0,200,8,25,52,48,7,"one",50,"The Legend of 1900","Friends","Criminal minds","Stat100_L1"
"Male","Male",65,135,8.5,"Freshman",5,3.9,32,0,1,80,36,7.5,10,56,58,4,"few",10,"none","none","none","Stat100_L1"
"Female","Female",68,110,6.5,"Freshman",7,4,31,0,0,0,120,7.5,30,48,49,8,"few",50,"The Sound of Music","Happy Camps","none","Stat100_L1"
"Male","Male",70,255,10.5,"Junior",1,3.5,35,1,1,105,74,8.5,3,54,54,6,"thousands",100,"The Godfather","Legend of the Galactic Heros","Steins Gate","Stat100_L1"
"Male","Male",76,240,13,"Sophomore",2,2.5,31,12,1,110,20,6,5,56,45,6,"few",0,"slumdog millionaire","the x-files","bojack horseman","Stat100_L1"
"Female","Female",70,150,12,"Freshman",2.5,3.3,25,1,1,100,1,5,12,48,46,2,"few",80,"The Notebook","Greys Anatomy","New Girl","Stat100_L1"
"Male","Male",72,153,10,"Sophomore",3,3.1,28,1,2,60,11,6,12,57,51,10,"dozens",30,"The Dark Knight","Atlanta","Insecure","Stat100_L1"
"Male","Male",66,145,11.5,"Sophomore",2,2,24,2,1,60,5,7,10,54,55,6,"dozens",15,"The Fate of The Furious","The Walking Dead","Naruto","Stat100_L1"
"Male","Male",73,245,12,"Freshman",1.5,3.9,29,1,2,110,65,7.5,3,48,50,7,"few",80,"Pirates of the Caribbean","The West Wing","The Office","Stat100_L1"
"Female","Female",68,130,8,"Graduate",4,4,35,0,2,60,10,7,7,50,51,7,"few",10,"The Truman's Show","Game of Thrones","The Amazing Race","Stat100_L1"
"Female","Female",66,256,10,"Freshman",3,2.4,19,3,1,96,30,7.5,7,42,46,6,"few",2,"Love and Basketball","Grey's Anatomy","Keeping up with the Kardashians","Stat100_L1"
"Male","Male",74,160,10,"Freshman",3,3.9,29,2,0,70,500,7,6,45,45,4,"few",100,"godfather","none","none","Stat100_L1"
"Female","Female",69,229,9,"Sophomore",1,3.2,21,3,2,92,98,8,10,49,59,4,"few",73,"Unbroken","MindHunter","none","Stat100_L1"
"Male","Male",70,180,9.5,"Freshman",10,4,29,0,0,0,100,7,6,44,45,2,"one",20,"Forrest Gump","none","none","Stat100_L1"
"Female","Female",67,115,8,"Freshman",5,3.3,30,2,2,0,66,8,15,38,45,3,"one",3,"Sleepless in Seattle","Friends","Shameless","Stat100_L1"
"Male","Male",70,190,12.5,"Sophomore",1,2.2,32,2,4,145,0,7.5,10,55,49,7,"hundreds",100,"Pulp Fiction","Game of Thrones","Fargo","Stat100_L1"
"Female","Female",66,130,8.5,"Freshman",2,3.6,29,0,1,80,5,6,8,54,58,7,"few",100,"none","none","none","Stat100_L1"
"Female","Female",67,127,8.5,"Freshman",1,3.7,25,4,1,90,20,8.5,16,53,56,4,"few",91,"Dirty Dancing","Friends","The Office","Stat100_L1"
"Female","Female",67,166,10,"Freshman",5,4,27,1,2,75,0,6,11,47,56,6,"thousands",75,"Coraline","South Park","Spongebob","Stat100_L1"
"Male","Male",62,120,9.5,"Sophomore",2,2.9,21,0,2,110,1000,6,3,52,51,4,"few",50,"none","Shark Tank","Big Bang Theory","Stat100_L1"
"Male","Male",69,175,11,"Freshman",3,3.5,23,0,2,90,120,7,10,46,48,4,"few",50,"Coach Carter","Arrested Development","The League","Stat100_L1"
"Female","Female",68,180,10,"Sophomore",3,3.8,31,1,2,120,20,7,20,44,44,7,"few",50,"wonder woman","Gossip Girl","How to get away with murder","Stat100_L1"
"Female","Female",60,105,6,"Freshman",3,3.9,29,3,0,85,1000,6,30,59,53,8,"few",90,"Forest Gump","Good Girls Revolt","younger","Stat100_L1"
"Female","Female",63,145,7,"Freshman",4,3.9,25,4,2,45,600,8,10,46,48,5,"dozens",50,"call me by your name","The Office","Gossip Girl","Stat100_L1"
"Male","Male",70,128,8.5,"Freshman",1.5,3.6,30,1,1,100,107,6.5,6,49,50,7,"millions",25,"coco","none","none","Stat100_L1"
"Female","Female",66,120,7,"Freshman",3,3.7,27,0,3,75,120,8,8,45,51,8,"few",50,"A Walk to Remember","Grey's Anatomy","Criminal Minds","Stat100_L1"
"Female","Female",66,130,9.5,"Junior",1,2.1,21,0,5,90,25,7.5,10,56,65,3,"few",30,"The Hunger Games: Catching Fire","The Mindy Project","Shameless","Stat100_L1"
"Female","Female",64,127,7,"Freshman",3,3.7,24,2,2,60,107,6,20,35,42,6,"millions",100,"Call Me By Your Name","Teen Wolf","Gossip Girl","Stat100_L1"
"Male","Male",67,166,9,"Sophomore",2,2.3,23,6,3,105,0,7.5,8,39,40,9,"dozens",30,"Inglorious Basterds","Breaking Bad","Stranger Things","Stat100_L1"
"Female","Female",68,120,8.5,"Freshman",5.5,3.7,29,0,1,55,80,7,13,57,58,10,"dozens",100,"La La Land","Riverdale","The Crown","Stat100_L1"
"Female","Female",64,128,7,"Freshman",3,4,21,1,2,65,60,6.5,23,43,44,5,"few",30,"Twilight","Criminal Minds","Pretty Little Liars","Stat100_L1"
"Female","Female",65,125,8,"Sophomore",0.5,2.9,26,2,3,97,0,7.5,7,54,57,3,"none",70,"none","Shameless","Breaking Bad","Stat100_L1"
"Female","Female",70,200,10.5,"Sophomore",2.5,2.7,27,2,3,120,12,7.5,13,46,47,7,"hundreds",100,"John wick","Rick and morty","Archer","Stat100_L1"
"Female","Female",65,128,7.5,"Freshman",0.5,2.4,25,5,2,40,1000,8.5,7,44,44,6,"few",99,"Titanic","Family Guy","Friends","Stat100_L1"
"Female","Female",64,207,8.5,"Senior",5.5,2.9,17,2,5,60,10,6.5,2,50,65,6,"one",70,"Proud Mary","none","none","Stat100_L1"
"Female","Female",63,150,7.5,"Junior",2,2.5,23,4,2,60,30,7.5,8,55,53,7,"dozens",10,"How to Loose a Guy in 10 days","The Office","That 70s Show","Stat100_L1"
"Female","Female",67,133,7.5,"Freshman",3,3.6,26,3,1,100,40,8,9,45,49,9,"hundreds",50,"love and basketball","How to get away with murder","One Tree Hill","Stat100_L1"
"Female","Female",65,235,8.5,"Freshman",0,3.7,30,2,0,80,200,5,10,48,53,9,"few",0,"Love Actually","Winnie the Pooh","The End of the Fucking World","Stat100_L1"
"Male","Male",77,205,14,"Freshman",0.5,3.8,29,2,3,115,11,7.5,7,56,56,9,"dozens",20,"The Shawshank Redemption","Prison Break","The Office","Stat100_L1"
"Female","Female",65,126,8,"Freshman",3,3.9,33,1,1,65,20,6,30,54,58,6,"few",90,"The Imitation Game","Stranger Things","Downton Abbey","Stat100_L1"
"Female","Female",66,130,7,"Junior",3,2.6,20,6,7,70,2,5.5,15,41,44,9,"few",7,"the wood","the carmichael show","archer","Stat100_L1"
"Male","Male",73,190,10,"Freshman",4,3.7,31,5,0,70,150,7,6,55,53,6,"few",50,"Terminator 2","X-Files","Malcolm in the Middle","Stat100_L1"
"Female","Female",64,125,7,"Sophomore",2,3.8,28,1,1,85,40,7,50,50,51,8,"few",35,"White Chicks","That 70's Show","Riverdale","Stat100_L1"
"Female","Female",63,105,7,"Freshman",2,1.8,25,4,1,100,200,7,15,49,49,10,"few",15,"none","The Office","Parks and Recreation","Stat100_L1"
"Female","Female",64,117,7,"Freshman",3,2,23,6,7,45,8,5.5,20,37,43,5,"dozens",10,"forest gump","star","charmed","Stat100_L1"
"Male","Male",72,128,9.5,"Freshman",3.5,3.7,30,0,3,90,25,6,5,56,65,7,"few",85,"Sound of Music","The Office","The Newsroom","Stat100_L1"
"Female","Female",64,140,7,"Sophomore",1.5,3,30,3,1,95,100,8.5,20,52,53,2,"thousands",25,"Django Unchained","Dexter","The Office","Stat100_L1"
"Male","Male",69,180,10,"Senior",2,2.6,21,0,2,200,21,7,9,46,55,7,"few",80,"Warrior","Game of Thrones","Rick and Morty","Stat100_L1"
"Female","Female",62,145,6,"Freshman",4,4,24,5,0,70,30,8,9,36,37,6,"few",70,"jumanji","law and order svu","bobs burgers","Stat100_L1"
"Female","Female",63,130,6.5,"Freshman",9,4,33,4,1,110,12,7.5,16,52,52,7,"one",100,"Devil Wears Prada","Game of Thrones","The Flash","Stat100_L1"
"Female","Female",73,155,9.5,"Junior",1.5,3.5,29,4,1,95,120,8,20,58,58,4,"few",50,"Hercules","Rick and Morty","The Walking Dead","Stat100_L1"
"Female","Female",61,122,4,"Freshman",2.5,3.3,25,10,12,91,50,6,10,62,65,7,"few",25,"Harry Potter","The flash","Grown-ish","Stat100_L1"
"Female","Female",69,150,9,"Freshman",4.5,3.6,28,1,2,105,0,7,35,52,52,4,"few",60,"none","Greys Anatomy","Shameless","Stat100_L1"
"Male","Male",69,260,10.5,"Freshman",2,3.7,30,0,1,105,200,6.5,6,46,49,9,"few",65,"Rocky 4","Friends","The Office","Stat100_L1"
"Female","Female",68,140,8.5,"Freshman",3,3.5,28,2,1,100,25,8,25,47,47,9,"few",70,"The Pursuit of Happiness","The Office","Narcos","Stat100_L1"
"Male","Male",70,250,11.5,"Freshman",4,3.8,26,4,1,85,10,6,12,35,36,7,"few",45,"Alladdin","Gossip Girl","Scandal","Stat100_L1"
"Male","Male",65,174,9.5,"Sophomore",4.5,3.8,28,8,4,145,150,7,10,49,50,6,"few",50,"Star Wars: Episode V - The Empire Strikes Back","Bobs Burgers","South Park","Stat100_L1"
"Female","Female",66,108,9,"Junior",4,3.4,30,0,1,80,0,6,6,50,52,9,"few",90,"The Dark Knight","The Flash","Gossip Girl","Stat100_L1"
"Female","Female",67,165,10,"Freshman",2,4,25,2,4,70,0,7,20,53,56,7,"one",24,"Hunger Games the last one","Grownish","Riverdale","Stat100_L1"
"Male","Male",69,175,10.5,"Freshman",4,2.9,24,2,1,186,300,8,4,51,56,3,"millions",0,"fast and furious tokyo drift","narcos","breaking bad","Stat100_L1"
"Female","Female",60,122,7,"Freshman",1.5,3.9,27,3,0,60,60,8,30,38,41,8,"thousands",95,"none","New Girl","Black Mirror","Stat100_L1"
"Female","Female",67,116,8.5,"Sophomore",1.5,3.5,29,1,1,90,200,8,10,54,59,7,"hundreds",75,"Sprited Away","Bob's Burgers","It's Always Sunny in Philadelphia","Stat100_L1"
"Female","Female",61,117,5.5,"Sophomore",3,3.5,28,1,1,90,120,9,15,52,52,7,"few",50,"Forrest Gump","Friends","The Office","Stat100_L1"
"Female","Female",66,126,9,"Freshman",3,3.3,32,1,3,100,50,7.5,11,54,56,8,"one",95,"Napoleon Dynomite","Portlandia","american horror story","Stat100_L1"
"Female","Female",65,127,5.5,"Sophomore",3,4,33,0,1,80,100,7.5,20,53,56,7,"dozens",60,"Ferris Bueller's Day Off","Friends","Parks and Recreation","Stat100_L1"
"Female","Female",66,110,8,"Freshman",4,3.3,25,3,1,60,9,7,20,43,46,7,"dozens",100,"None","Once Upon A Time","Longmire","Stat100_L1"
"Female","Female",65,145,8.5,"Junior",2,3.6,27,0,1,95,11,6,40,55,57,9,"few",100,"Princess Bride","Gilmore Girls","The Office","Stat100_L1"
"Female","Female",67,213,11,"Freshman",2.5,2.7,21,2,5,85,600,7,13,53,53,1,"few",40,"Goodfellas","Shameless","Wild n' Out","Stat100_L1"
"Female","Female",64,145,7,"Sophomore",5.5,2,21,3,2,85,11,6,5,42,40,9,"few",100,"pride and prejudice","Grey's Anatomy","The Office","Stat100_L1"
"Male","Male",64,115,8.5,"Freshman",4,3.1,21,0,3,110,5,9,8,37,42,4,"one",25,"Inception","Stranger Things","How I Met Your Mother","Stat100_L1"
"Male","Male",73,210,12,"Sophomore",3,3.1,30,0,1,115,0,8,7,49,52,7,"one",100,"none","none","none","Stat100_L1"
"Female","Female",62,143,7,"Freshman",3,3.9,23,3,1,115,25,6,14,49,47,6,"few",50,"Clueless","Sherlock","The Office","Stat100_L1"
"Female","Female",66,141,7.5,"Freshman",2,3.2,19,5,4,0,2,6.5,11,43,45,8,"few",50,"Juice","Rick and Morty","Black Mirror","Stat100_L1"
"Female","Female",69,140,9,"Senior",3,3.6,28,5,1,80,25,7.5,25,60,60,6,"few",75,"Lady Bird","The Office","Black Mirror","Stat100_L1"
"Female","Female",62,130,6.5,"Freshman",2.5,3.3,23,8,1,0,26,10,13,38,39,5,"few",40,"The Silence of the Lambs","Shameless","Black Mirror","Stat100_L1"
"Female","Female",66,115,6.5,"Freshman",3,4,26,2,2,78,62,6.5,6,53,51,3,"one",75,"none","How I Met Your Mother","Modern Family","Stat100_L1"
"Female","Female",69,230,9.5,"Junior",2,3.3,18,6,2,90,25,5,15,44,52,5,"dozens",3,"none","Stranger Things","Scandal","Stat100_L1"
"Female","Female",61,125,7,"Freshman",2,3.9,27,1,3,110,150,10.5,16,58,59,6,"few",40,"The Dark Knight","The Office","Parks and Recreation","Stat100_L1"
"Female","Female",63,153,9.5,"Freshman",2.5,3.4,28,30,0,85,150,7.5,16,45,46,3,"few",35,"Tommy Boy","Big Brother","The Bachelor","Stat100_L1"
"Female","Female",59,115,6.5,"Sophomore",3,3.3,23,1,1,100,30,7,20,55,60,7,"few",50,"Boyhood","Shameless","Gossip Girl","Stat100_L1"
"Female","Female",64,145,8.5,"Sophomore",3,3.6,22,2,2,105,150,7,17,47,49,8,"millions",95,"Trolls","Psych","Parks and Recreation","Stat100_L1"
"Female","Female",61,113,7,"Junior",2.5,3.4,19,1,2,90,5,8,10,59,60,9,"one",75,"Notebook","How to get away with murder","grey's anatomy","Stat100_L1"
"Female","Female",66,165,7.5,"Senior",2,3.3,27,5,2,95,0,8,20,51,50,7,"one",90,"Ratatouille","The Office","The Simpsons","Stat100_L1"
"Female","Female",64,116,8,"Freshman",2,4,25,1,1,0,0,7,9,48,49,8,"hundreds",90,"Pulp Fiction","The Eric Andre Show","Parks and Rec","Stat100_L1"
"Female","Female",61,117,6,"Freshman",2,1.8,30,3,2,75,1,7,5,49,53,5,"hundreds",60,"conjuring","rick and morty","black mirror","Stat100_L1"
"Female","Female",65,126,8,"Sophomore",6,4,33,5,0,0,300,7,15,45,45,6,"few",100,"One Flew Over the Cuckoo's Nest","BIG LITTLE LIES","MODERN FAMILY","Stat100_L1"
"Female","Female",64,120,6.5,"Freshman",2,2.9,32,0,0,0,57,7,12,48,51,7,"few",50,"none","The newsroom","2 Broken Girls","Stat100_L1"
"Female","Female",67,115,9,"Freshman",6,3.7,28,1,2,0,13,5,31,45,43,9,"few",40,"Beauty and the Beast","Pretty Little Liars","Blackish","Stat100_L1"
"Male","Male",68,189,12,"Junior",3.5,2.7,23,4,2,139,80,5.5,21,53,56,5,"few",25,"Lion King","How I Met Your Mother","Naruto","Stat100_L1"
"Female","Female",66,200,10,"Freshman",3,3.9,27,10,1,80,1,7,13,52,47,8,"none",95,"Beauty and the Beast","none","none","Stat100_L1"
"Male","Male",70,130,8.5,"Senior",5,2.6,24,0,2,85,70,6,4,50,65,5,"one",40,"John Wick II","None","None","Stat100_L1"
"Male","Male",71,210,11,"Freshman",3,3.5,27,1,1,110,0,7.5,11,41,40,7,"few",0,"The Prestige","Sons of Anarchy","the office","Stat100_L1"
"Male","Male",72,150,9.5,"Freshman",6,3.9,25,6,2,91,47,8,12,37,47,6,"one",100,"x-men: first class","Game of Thrones","Friends","Stat100_L1"
"Male","Female",73,180,10.5,"Junior",3,4,29,1,1,200,20,6,9,53,63,10,"thousands",100,"The Hangover","Family Guy","Rick and Morty","Stat100_L1"
"Female","Female",69,150,9.5,"Freshman",1,3.2,22,3,3,0,0,6.5,9,47,50,7,"none",50,"Insidious","Bad Girls Club","The Girls Next Door","Stat100_L1"
"Female","Female",60,180,7,"Sophomore",1,2.6,24,1,1,96,10,4.5,10,43,45,2,"few",45,"High School Musical","Bobs Burgers","Family Guy","Stat100_L1"
"Female","Female",61,114,6,"Freshman",2,3.8,23,1,1,90,60,8,25,50,51,2,"few",30,"tangled","impractical jokers","say yes to the dress","Stat100_L1"
"Female","Female",62,145,7.5,"Freshman",4,4,29,0,1,100,0,7,15,49,49,9,"none",50,"Forrest Gump","The Office","Always Sunny in Philadelphia","Stat100_L1"
"Male","Male",70,180,9.5,"Junior",5.5,1.1,27,8,2,135,0,6,21,41,41,2,"few",2,"harry potter","atlanta","naruto","Stat100_L1"
"Male","Male",72,160,11.5,"Junior",2,2.6,27,1,2,0,0,6,5,52,60,7,"dozens",95,"None","True Detective","South Park","Stat100_L1"
"Female","Female",62,143,7,"Sophomore",10,4,28,0,0,70,600,7,20,45,54,8,"few",20,"Schindler's List","Allen Show","Saturday Night Live","Stat100_L1"
"Male","Male",74,170,9.5,"Sophomore",5,3.6,17,1,4,120,45,6,4,56,65,7,"few",0,"Bang that pussy vol.3","American Dad","Family Guy","Stat100_L1"
"Female","Female",64,105,6.5,"Freshman",0.5,2.9,25,0,4,75,10,8,30,52,53,2,"dozens",100,"Interstellar","How I Met Your Mother","Gossip Girl","Stat100_L1"
"Male","Male",74,130,10.5,"Freshman",1.5,3.5,33,3,2,80,0,6,4,51,51,2,"few",70,"The Big Lebowski","Arrested Development","Cowboy Bebop","Stat100_L1"
